,id,url,title,content
0,0,https://www.tribunnews.com/sport/2020/10/06/zainudin-amali-beberkan-alasan-berikan-rekomendasi-kepada-empat-atlet-jadi-warga-negara-indonesia,"
						Zainudin Amali Beberkan Alasan Berikan Rekomendasi Kepada Empat Atlet Jadi Warga Negara Indonesia 					","b'Laporan Wartawan Tribunnews.com, Abdul Majid TRIBUNNEWS.COM, JAKARTA \xe2\x80\x93 Menteri Pemuda dan Olahraga (Menpora), Zainudin Amali sempat membeberkan alasannya memberikan rekomendasi kepada empat atlet yang ingin menjadi Warga Negara Indonesia (WNI) atau naturalisasi. Empat pemain yang dimohonkan jadi Warga Negara Indonesia (WNI) yakni tiga dari cabang olahraga bola basket; Brandon Van Dorn Jawato, Lester Prosper, Kimberly Pierre Louis dan Marc Anthony Klok dari cabang olahraga sepakbola. Menurut Menpora, empat pemain tersebut secara kualitas mempunyai rekor yang baik sehingga secara urgensi juga bagus untuk memperkuat Timnas Basket\xc2\xa0\xc2\xa0di mana Indonesia akan melakoni kejuaraan Asia 2021 dan Indonesia menjadi tuan rumah Piala Dunia Basket 2023. Sedangkan, Marc Klok dibutuhkan untuk bisa meningkatkan prestasi Timnas sepakbola Indonesia di level senior. \xe2\x80\x9cKebutuhan kami untuk naturalisasi karena di depan akan jadi tuan rumah kejuaraan dunia bola basket FIBA 2023 dan sebelumnya 2021 kami akan juga jadi tuan rumah kejuaraan basket Asia,\xe2\x80\x9d kata Menpora dalam rapat kerja bersama dengan Komisi III dan MenkumHAM, Senin (5/10/2020). \xe2\x80\x9cTerus terang kalau lihat kondisi sekarang ini memang kami sangat membutuhkan tambahan tenaga yang bisa memperkuat Timnas Basket, pengalaman terakhir pada saat mengikuti SEA Games Manila,\xc2\xa0\xc2\xa0begitu melawan dengan negara yang pemainnya boleh memiliki dua Kewarganegaraan kita jauh tertinggal,\xe2\x80\x9d jelasnya. Saat memberikan rekomendasi Menpora mengaku tak sembarangan. Ia bersama dengan tim dari Kemenpora melihat data-data dari tiga pemain yang akan dinaturalisasi. Setelah dianggap lengkap dirinya baru mengajukan ke Kementerian Hukum dan HAM dan hari ini dirapatkan dengan Komisi III DPR RI. \xe2\x80\x9cBerdasarkan penelusuran kami, maka yang bersangkutan kami anggap layak untuk kami memohonkan kewarganegaraanya untuk bisa perkuat Timnas Basket,\xe2\x80\x9d ujarnya.'"
1,1,https://www.tribunnews.com/sport/2020/10/06/jadwal-siaran-langsung-motogp-prancis-2020-live-streaming-trans7-gratis,"
						JADWAL Siaran Langsung MotoGP Prancis 2020, Live Streaming Trans7 Gratis 					","b'TRIBUNNEWS.COM - Jadwal siaran langsung MotoGP Prancis 2020 Sirkuit Le Mans live streaming Trans7 bisa disimak dalam berita ini. Race MotoGP Prancis 2020 dijadwalkan berlangsung akhir pekan ini, Minggu (11/10/2020) pukul 18.00 WIB. Bagi seorang Marc Marquez, terdapat empat syarat wajib dipenuhi bagi seorang pembalap agar bisa menjadi juara dunia di ajang MotoGP. Seperti yang diketahui, Marc Marquez bersama Respol Honda mampu memberikan dominasinya di ajang balap MotoGP. Baca: Jadwal MotoGP Prancis 2020 Pekan Ini - Comback Marc Marquez ke Lintasan Belum Ada Kejelasan Baca: Ketidakhadiran Marc Marquez, Balapan Terindah Valentino Rossi Selama di MotoGP Baca: Tak Perlu Kondisi 100 Persen bagi Marc Marquez Dapat Comeback di MotoGP 2020 Selama tujuh musim terakhir siapa yang tak mengetahui bagaimana kehebatan seorang Marc Marquez bersama RC213V-nya. Marc Marquez langsung membuat debut sensional dengan menjadi juara di kepas para raja pada musim perdananya. Tepatnya pada MotoGP 2013. Tak berhenti sampai di situ, dalam beberapa msuim selanjutnya, dominasi rider asal Spanyol itu bahkan tak terbendung sama sekali. Dari tujuh kemungkinan Marc Marquez menjadi juara dunia, ia mampu meraihnya sebanyak enam kali. Di mana satu kali ia gagal mempertahankan gelarnya pada MotoGP 2015. Saat itu juara dunia jatuh ke tangan Jorge Lorenzo yang saat itu masih membela Monster Energy Yamaha. Ternyata Marc Marquez memiliki syarat yang harus dipenuhi oleh seorang pembalap untuk dapat mengikuti jejaknya.'"
2,2,https://www.tribunnews.com/sport/2020/10/06/live-streaming-motogp-prancis-2020-update-kondisi-marc-marquez-jelang-race-di-sirkuit-le-mans,"
						Live Streaming MotoGP Prancis 2020 - Update Kondisi Marc Marquez Jelang Race di Sirkuit Le Mans 					","b'TRIBUNNEWS.COM - Live streaming Trans7 MotoGP Prancis 2020 Sirkuit Le Mans yang akan berlangsung akhir pekan ini, Minggu (11/10/2020) petang tersedia dalam berita ini. Marc Marquez mengungkapkan bahwa dirinya tak perlu hingga 100 persen kondisinya prima untuk kembali ke lintasan balap MotoGP 2020. Cedera lengan kanan yang dialami oleh pembalap Repsol Honda, Marc Marquez membuatnya harus absen panjang. Terhitung semenjak seri kedua MotoGP 2020, ia hingga saat ini dipastikan dalam kondisi yang belum siap untuk kembali mengaspal. Baca: Siaran Langsung MotoGP Prancis 2020 - Ini 4 Syarat jadi Juara Dunia Menurut Marc Marquez Baca: Empat Syarat Wajib untuk Jadi Juara Dunia MotoGP Versi Marc Marquez Baca: Jadwal Lengkap MotoGP 2020 dengan Enam Seri Balap Tersisa Baca: Nonton Live Streaming TV Online Trans7, MotoGP Prancis 2020, Akhir Pekan Ini Namun Marc Marquez mengakui bahwa dirinya tak perlu menunggu hingga kondisinya pulih sepenuhnya untuk dapat kembali ke kejuaraan dunia MotoGP. ""Untuk fisik saya saat ini, belum dalam kondisi yang baik,"" kata Marc Marquez seperti yang dikutip dari laman GPOne. ""Setidaknya saya harus memiliki 80 hingga 90 persen kekuatan di lengan kanan saya untuk dapat kembai ke balapan."" Tanpa seorang Marc Marquez di kubu tim Repsol Honda, pabrikan asal Jepang itu kesulitan untuk menancapkan dominasinya. Dua pembalap yang dimiliki, Stefan Bradl, dan Alex Marquez kesulitan untuk mengandalikan RC213V yang terkenal bandel. Tentu kondisi tersebut semakin membuat wajah tim Reopsol Honda tak karuan, mengingat mereka kesulitan untuk bersing di grid depan.'"
3,3,https://www.tribunnews.com/sport/2020/10/06/25-petinju-terbaik-sepanjang-masa-muhammad-ali-bukan-nomor-satu,"
						25 Petinju Terbaik Sepanjang Masa, Muhammad Ali Bukan Nomor Satu 					","b'TRIBUNNEWS.COM - Muhammad Ali secara mengejutkan tak mendapatkan tempat tertinggi dalam daftar petinju terbaik sepanjang masa. Muhammad Ali selama ini mendapat label The Greatest of All Time atau petinju terbaik sepanjang masa. Mengawali debut pada 17 Januari 1942, Muhammad Ali telah menorehkan sederet prestasi cemerlang dalam kariernya. Muhammad Ali pernah meraih medali emas Olimpiade dan juga menyabet gelar juara dunia kelas berat di tiga kesempatan berbeda sekaligus mempertahankan gelarnya tersebut selama 19 kali. Meski begitu, prestasi tersebut rupanya tak mampu membuat Muhammad Ali dianggap sebaga petinju terbaik sepanjang masa. Hasil itu dibuktikan dengan daftar 25 petinju terbaik sepanjang masa yang baru saja dirilis oleh media olahraga asal California, Yardbarker. Menurut rilis tersebut, Yardbarker tidak menempatkan Muhammad Ali di peringkat pertama daftar petinju terbaik sepanjang masa. Yardbarker justru menempatkan Sugar Ray di posisi peringkat paling atas. BACA SELENGKAPNYA DI SINI'"
4,4,https://www.tribunnews.com/sport/2020/10/06/nonton-live-streaming-trans7-motogp-prancis-2020-race-berlangsung-sebelum-moto2,"
						Nonton Live Streaming Trans7, MotoGP Prancis 2020, Race Berlangsung Sebelum Moto2 					","b'TRIBUNNEWS.COM - Live streaming Trans7 MotoGP jelang GP Prancis 2020 Sirkuit Le Mans bisa diakses dalam berita ini. Race MotoGP Prancis 2020 Sirkuit Le Mans akan berlangsung lebih dulu dari Moto2, pada Minggu (11/10/2020) pukul 18.00 WIb. Sementara race Moto2 dijadwalkan mulai pukul 19.30 WIB. Bagi seorang Marc Marquez, terdapat empat syarat wajib dipenuhi bagi seorang pembalap agar bisa menjadi juara dunia di ajang MotoGP. Baca: Jadwal MotoGP Prancis 2020 Pekan Ini - Comback Marc Marquez ke Lintasan Belum Ada Kejelasan Baca: Ketidakhadiran Marc Marquez, Balapan Terindah Valentino Rossi Selama di MotoGP Baca: Tak Perlu Kondisi 100 Persen bagi Marc Marquez Dapat Comeback di MotoGP 2020 Seperti yang diketahui, Marc Marquez bersama Respol Honda mampu memberikan dominasinya di ajang balap MotoGP. Selama tujuh musim terakhir siapa yang tak mengetahui bagaimana kehebatan seorang Marc Marquez bersama RC213V-nya. Marc Marquez langsung membuat debut sensional dengan menjadi juara di kepas para raja pada musim perdananya. Tepatnya pada MotoGP 2013. Tak berhenti sampai di situ, dalam beberapa msuim selanjutnya, dominasi rider asal Spanyol itu bahkan tak terbendung sama sekali. Dari tujuh kemungkinan Marc Marquez menjadi juara dunia, ia mampu meraihnya sebanyak enam kali. Di mana satu kali ia gagal mempertahankan gelarnya pada MotoGP 2015.'"
5,5,https://www.tribunnews.com/sport/2020/10/06/live-streaming-motogp-prancis-2020-sirkuit-le-mans-ini-link-trans7-gratis,"
						Live Streaming MotoGP Prancis 2020 Sirkuit Le Mans, Ini Link Trans7 Gratis 					","b'TRIBUNNEWS.COM - Live streaming Trans7 MotoGP Prancis 2020 Sirkuit Le Mans yang akan berlangsung akhir pekan ini bisa diakses dalam berita ini. Race MotoGP Prancis 2020 Sirkuit Le Mans dijadwalkan pada Minggu (11/10/2020) pukul 18.00 WIB live Trans7. Marc Marquez mengungkapkan bahwa dirinya tak perlu hingga 100 persen kondisinya prima untuk kembali ke lintasan balap MotoGP 2020. Cedera lengan kanan yang dialami oleh pembalap Repsol Honda, Marc Marquez membuatnya harus absen panjang. Baca: Empat Syarat Wajib untuk Jadi Juara Dunia MotoGP Versi Marc Marquez Baca: Jadwal Lengkap MotoGP 2020 dengan Enam Seri Balap Tersisa Baca: Nonton Live Streaming TV Online Trans7, MotoGP Prancis 2020, Akhir Pekan Ini Terhitung semenjak seri kedua MotoGP 2020, ia hingga saat ini dipastikan dalam kondisi yang belum siap untuk kembali mengaspal. Namun Marc Marquez mengakui bahwa dirinya tak perlu menunggu hingga kondisinya pulih sepenuhnya untuk dapat kembali ke kejuaraan dunia MotoGP. ""Untuk fisik saya saat ini, belum dalam kondisi yang baik,"" kata Marc Marquez seperti yang dikutip dari laman GPOne. ""Setidaknya saya harus memiliki 80 hingga 90 persen kekuatan di lengan kanan saya untuk dapat kembai ke balapan."" Tanpa seorang Marc Marquez di kubu tim Repsol Honda, pabrikan asal Jepang itu kesulitan untuk menancapkan dominasinya. Dua pembalap yang dimiliki, Stefan Bradl, dan Alex Marquez kesulitan untuk mengandalikan RC213V yang terkenal bandel. Tentu kondisi tersebut semakin membuat wajah tim Reopsol Honda tak karuan, mengingat mereka kesulitan untuk bersing di grid depan.'"
6,6,https://www.tribunnews.com/sport/2020/10/06/real-madrid-menangi-persaingan-perburuan-pemain-muda-dari-sang-rival-barcelona,"
						Real Madrid Menangi Persaingan Perburuan Pemain Muda dari Sang Rival Barcelona 					","b'TRIBUNNEWS.COM-\xc2\xa0Klub Ibukota Spanyol Real Madrid\xc2\xa0berhasil kalahkan\xc2\xa0Barcelona\xc2\xa0dalam perburuan pemain muda kelahiran Spanyol\xc2\xa0Rafael Obrador\xc2\xa0yang baru berusia 16 tahun. Sebagian tim besar asal Eropa tidak melulu berfokus pada transfer pemain di tim senior namu terkadang mereka juga memperhatikan tim mudanya. Hal ini juga yang dilakukan oleh juara bertahan Liga Spanyol musim 2019-2020\xc2\xa0Real Madrid. Baru-baru ini klub asal ibukota Spanyol ini berhasil memenangkan persaingan dalam perebutan seorang pemain muda. Dilansir SportFEAT.COM dari Marca\xc2\xa0Real Madrid\xc2\xa0berhasil mendapatkan tanda tangan pemain muda berusia 16 tahun\xc2\xa0Rafael Obrador\xc2\xa0yang berposisi sebagai bek kiri. Sebelum bergabung dengan\xc2\xa0Real Madrid,\xc2\xa0Rafael Obrador\xc2\xa0diketahui bermain terlebih dahulu untuk tim RCD Mallorca senior dan RCD Mallorca B. Rafael Obrador\xc2\xa0sendir baru mencicipi bermain bersama tim senior hanya dalam satu pertandingan saja. BACA SELENGKAPNYA'"
7,7,https://www.tribunnews.com/sport/2020/10/06/klasemen-motogp-2020-jelang-gp-prancis-sirkuit-le-mans-akhir-pekan-ini-live-streaming-trans7-gratis,"
						KLASEMEN MotoGP 2020 Jelang GP Prancis Sirkuit Le Mans Akhir Pekan Ini, Live Streaming Trans7 Gratis 					","b'TRIBUNNEWS.COM - Klasemen sementara MotoGP jelang GP Prancis 2020 Sirkuit Le Mans bisa disimak dalam berita ini. Bagi seorang Marc Marquez, terdapat empat syarat wajib dipenuhi bagi seorang pembalap agar bisa menjadi juara dunia di ajang MotoGP. Seperti yang diketahui, Marc Marquez bersama Respol Honda mampu memberikan dominasinya di ajang balap MotoGP. Selama tujuh musim terakhir siapa yang tak mengetahui bagaimana kehebatan seorang Marc Marquez bersama RC213V-nya. Baca: Jadwal MotoGP Prancis 2020 Pekan Ini - Comback Marc Marquez ke Lintasan Belum Ada Kejelasan Baca: Ketidakhadiran Marc Marquez, Balapan Terindah Valentino Rossi Selama di MotoGP Baca: Tak Perlu Kondisi 100 Persen bagi Marc Marquez Dapat Comeback di MotoGP 2020 Marc Marquez langsung membuat debut sensional dengan menjadi juara di kepas para raja pada musim perdananya. Tepatnya pada MotoGP 2013. Tak berhenti sampai di situ, dalam beberapa msuim selanjutnya, dominasi rider asal Spanyol itu bahkan tak terbendung sama sekali. Dari tujuh kemungkinan Marc Marquez menjadi juara dunia, ia mampu meraihnya sebanyak enam kali. Di mana satu kali ia gagal mempertahankan gelarnya pada MotoGP 2015. Saat itu juara dunia jatuh ke tangan Jorge Lorenzo yang saat itu masih membela Monster Energy Yamaha. Ternyata Marc Marquez memiliki syarat yang harus dipenuhi oleh seorang pembalap untuk dapat mengikuti jejaknya.'"
8,8,https://www.tribunnews.com/sport/2020/10/06/link-live-streaming-tv-online-trans7-race-motogp-prancis-2020-gratis-nonton-di-hp,"
						LINK Live Streaming TV Online Trans7 Race MotoGP Prancis 2020, Gratis, Nonton di HP 					","b'TRIBUNNEWS.COM - Live streaming\xc2\xa0 tv onlineTrans7 MotoGP Prancis 2020 Sirkuit Le Mans yang akan berlangsung akhir pekan ini, Minggu (11/10/2020) petang tersedia dalam berita ini. Marc Marquez mengungkapkan bahwa dirinya tak perlu hingga 100 persen kondisinya prima untuk kembali ke lintasan balap MotoGP 2020. Cedera lengan kanan yang dialami oleh pembalap Repsol Honda, Marc Marquez membuatnya harus absen panjang. Terhitung semenjak seri kedua MotoGP 2020, ia hingga saat ini dipastikan dalam kondisi yang belum siap untuk kembali mengaspal. Baca: Empat Syarat Wajib untuk Jadi Juara Dunia MotoGP Versi Marc Marquez Baca: Jadwal Lengkap MotoGP 2020 dengan Enam Seri Balap Tersisa Baca: Nonton Live Streaming TV Online Trans7, MotoGP Prancis 2020, Akhir Pekan Ini Namun Marc Marquez mengakui bahwa dirinya tak perlu menunggu hingga kondisinya pulih sepenuhnya untuk dapat kembali ke kejuaraan dunia MotoGP. ""Untuk fisik saya saat ini, belum dalam kondisi yang baik,"" kata Marc Marquez seperti yang dikutip dari laman GPOne. ""Setidaknya saya harus memiliki 80 hingga 90 persen kekuatan di lengan kanan saya untuk dapat kembai ke balapan."" Tanpa seorang Marc Marquez di kubu tim Repsol Honda, pabrikan asal Jepang itu kesulitan untuk menancapkan dominasinya. Dua pembalap yang dimiliki, Stefan Bradl, dan Alex Marquez kesulitan untuk mengandalikan RC213V yang terkenal bandel. Tentu kondisi tersebut semakin membuat wajah tim Reopsol Honda tak karuan, mengingat mereka kesulitan untuk bersing di grid depan.'"
9,9,https://www.tribunnews.com/sport/2020/10/06/live-streamig-trans7-motogp-prancis-2020-sirkuit-le-mans-race-lebih-awal,"
						LIVE Streaming Trans7, MotoGP Prancis 2020 Sirkuit Le Mans, Race Lebih Awal 					","b'TRIBUNNEWS.COM - Live streaming Trans7 MotoGP Prancis 2020 Sirkuit Le Mans bisa disimak dalam berita ini. Ada perubahan pada waktu race yang akan berlangsung akhir pekan ini, di mana kelas premier MotoGP lebih dulu dari kelas Moto2. Bagi seorang Marc Marquez, terdapat empat syarat wajib dipenuhi bagi seorang pembalap agar bisa menjadi juara dunia di ajang MotoGP. Seperti yang diketahui, Marc Marquez bersama Respol Honda mampu memberikan dominasinya di ajang balap MotoGP. Baca: Jadwal MotoGP Prancis 2020 Live Streaming Trans7 Gratis, Marc Marquez Belum Fit Baca: Ketidakhadiran Marc Marquez, Balapan Terindah Valentino Rossi Selama di MotoGP Baca: Tak Perlu Kondisi 100 Persen bagi Marc Marquez Dapat Comeback di MotoGP 2020 Selama tujuh musim terakhir siapa yang tak mengetahui bagaimana kehebatan seorang Marc Marquez bersama RC213V-nya. Marc Marquez langsung membuat debut sensional dengan menjadi juara di kepas para raja pada musim perdananya. Tepatnya pada MotoGP 2013. Tak berhenti sampai di situ, dalam beberapa msuim selanjutnya, dominasi rider asal Spanyol itu bahkan tak terbendung sama sekali. Dari tujuh kemungkinan Marc Marquez menjadi juara dunia, ia mampu meraihnya sebanyak enam kali. Di mana satu kali ia gagal mempertahankan gelarnya pada MotoGP 2015. Saat itu juara dunia jatuh ke tangan Jorge Lorenzo yang saat itu masih membela Monster Energy Yamaha. Ternyata Marc Marquez memiliki syarat yang harus dipenuhi oleh seorang pembalap untuk dapat mengikuti jejaknya.'"
